date,year,quarter,month,subdiv,lat,long,density,lon,X,Y,depth,year_q,temp
2020-02-01,2020,1,2,20,57.69781666666666,1121.06,0,11.350999999999999,640.1176345228328,6397.498312514302,80.20343017578125,2020_1,5.94827127456665
2020-02-01,2020,1,2,20,57.56595000000001,1137.878,0,11.6313,657.3880936272924,6383.4387987690725,40.97043228149414,2020_1,5.457533359527588
2020-02-02,2020,1,2,20,58.65888333333334,1049.609,0,10.826816666666666,605.9827967753617,6503.512723932027,81.1828842163086,2020_1,6.143101215362549
2020-02-02,2020,1,2,20,58.58221666666667,1053.838,0,10.8973,610.3125731955529,6495.0920158196595,75.29288482666016,2020_1,6.084505558013916
2020-02-02,2020,1,2,20,58.5405,1050.768,0,10.846133333333334,607.4658296920468,6490.365306165207,86.0828857421875,2020_1,6.3445234298706055
2020-02-02,2020,1,2,20,58.492266666666666,1107.62,0,11.126999999999999,623.9822947928013,6485.480234640551,58.07478713989258,2020_1,5.690450668334961
2020-02-03,2020,1,2,20,57.78166666666666,846.674,0,8.777899999999999,486.7920475825783,6404.424510940008,213.05641174316406,2020_1,7.208807468414307
2020-02-03,2020,1,2,20,57.63538333333333,849.162,0,8.819366666666667,489.2146021487416,6388.1317900347185,94.27642059326172,2020_1,6.764946460723877
2020-02-03,2020,1,2,20,57.45438333333333,831.163,0.24448897795591182,8.519383333333334,471.1604579480706,6368.069560365753,47.39841842651367,2020_1,6.534958839416504
2020-02-04,2020,1,2,20,58.327083333333334,1050.821,0,10.847016666666665,608.1699765590098,6466.6103325803815,149.0150604248047,2020_1,6.644825458526611
2020-02-05,2020,1,2,20,57.89673333333334,953.881,0,9.898016666666667,553.2328353289613,6417.566646241036,47.86608123779297,2020_1,6.517380237579346
2020-02-05,2020,1,2,20,57.98091666666666,952.707,0,9.878449999999999,551.9512160595788,6426.923234116627,95.15806579589844,2020_1,6.898983955383301
2020-02-05,2020,1,2,20,58.0721,948.853,0,9.814216666666665,548.0302148813757,6437.026971914377,310.95904541015625,2020_1,7.333323001861572
2020-08-24,2020,3,8,20,57.927550000000004,944.044,0,9.734066666666667,543.4771854096863,6420.880132305033,87.08806610107422,2020_3,8.89855670928955
2020-08-24,2020,3,8,20,57.93131666666667,938.105,0,9.635083333333334,537.6107898878549,6421.240113556474,97.68807220458984,2020_3,8.248878479003906
2020-08-24,2020,3,8,20,58.05766666666667,950.906,0,9.848433333333332,550.0687688021136,6435.444981649845,310.95904541015625,2020_3,7.509109973907471
2020-08-24,2020,3,8,20,58.05433333333334,958.009,0,9.966816666666666,557.0599888789874,6435.167806563874,221.4825897216797,2020_3,7.6519365310668945
2020-08-25,2020,3,8,20,58.11861666666667,1022.575,0,10.37625,581.0764210355023,6442.743143563404,218.2650604248047,2020_3,7.883388996124268
2020-08-25,2020,3,8,20,58.15801666666666,1039.054,0,10.650900000000002,597.1471849630492,6447.491945900298,239.12506103515625,2020_3,7.631427764892578
2020-08-25,2020,3,8,20,58.20883333333333,1053.87,0,10.897833333333331,611.5165075123098,6453.530649640173,146.83506774902344,2020_3,8.13241958618164
2020-08-25,2020,3,8,20,58.23143333333334,1111.327,0.12375249500998003,11.188783333333333,628.527523493313,6456.5643866104365,64.59478759765625,2020_3,13.557634353637695
2020-08-26,2020,3,8,20,58.62981666666666,1028.592,0,10.476533333333334,585.7346397796116,6499.77638531266,164.73287963867188,2020_3,7.840174674987793
2020-08-26,2020,3,8,20,58.58241666666666,1035.816,0,10.596933333333334,592.8504209962075,6494.659746601676,149.4028778076172,2020_3,7.818933486938477
2020-08-26,2020,3,8,20,58.46841666666666,1108.048,0,11.134133333333333,624.4823381934757,6482.838759518387,54.62479019165039,2020_3,16.348979949951172
2020-08-27,2020,3,8,20,57.562099999999994,828.288,0,8.471466666666666,468.3785404430581,6380.082182690957,113.38325500488281,2020_3,8.036469459533691
2020-08-27,2020,3,8,20,57.522816666666664,834.672,0,8.577866666666667,474.71707135325926,6375.66444373235,66.28325653076172,2020_3,9.706442832946777
2020-08-27,2020,3,8,20,57.42901666666667,835.918,0,8.598633333333334,475.8991680082486,6365.214836686337,42.13842010498047,2020_3,12.273659706115723
2020-08-27,2020,3,8,20,57.37218333333333,909.112,14.180327868852459,9.151866666666667,509.1332801603869,6358.827063710954,20.403438568115234,2020_3,16.359966278076172
2020-08-27,2020,3,8,20,57.48694999999999,908.647,13.381742738589212,9.144116666666667,508.6401125974341,6371.602202235953,21.506418228149414,2020_3,15.78353214263916
2020-08-29,2020,3,8,20,57.56851666666667,903.552,12.288659793814434,9.0592,503.5412568312742,6380.674971342087,27.476417541503906,2020_3,14.13260269165039
